Name,TID,InfoTID,BuildingClass,SecondaryTargetingClass,ShopBuildingClass,SWF,ExportName,ExportNameNpc,ExportNameConstruction,ExportNameLocked,BuildTimeD,BuildTimeH,BuildTimeM,BuildTimeS,BuildResource,BuildCost,TownHallLevel,TownHallLevel2,Width,Height,Icon,ExportNameBuildAnim,ExportNameUpgradeAnim,MaxStoredGold,MaxStoredElixir,MaxStoredDarkElixir,MaxStoredWarGold,MaxStoredWarElixir,MaxStoredWarDarkElixir,MaxStoredGold2,MaxStoredElixir2,PercentageStoredGold,PercentageStoredElixir,PercentageStoredDarkElixir,LootOnDestruction,Bunker,Village2Housing,HousingSpace,HousingSpaceAlt,ProducesResource,ResourcePer100Hours,ResourceMax,ResourceIconLimit,UnitProduction,UpgradesUnits,ProducesUnitsOfType,BoostCost,FreeBoost,Hitpoints,RegenTime,AttackRange,AltAttackMode,AltAttackRange,PrepareSpeed,AttackSpeed,AltAttackSpeed,CoolDownOverride,DPS,AltDPS,Damage,PreferredTarget,PreferredTargetDamageMod,RandomHitPosition,DestroyEffect,DestroyDamageEffect,AttackEffect,AttackEffect2,ChainAttackDistance,AttackEffectAlt,HitEffect,Projectile,AltProjectile,ExportNameDamaged,BuildingW,BuildingH,BaseGfx,ExportNameBase,AirTargets,GroundTargets,AltAirTargets,AltGroundTargets,AltMultiTargets,AmmoCount,AmmoResource,AmmoCost,MinAttackRange,DamageRadius,PushBack,WallCornerPieces,LoadAmmoEffect,NoAmmoEffect,ToggleAttackModeEffect,PickUpEffect,PlacingEffect,CanNotSellLast,DefenderCharacter,DefenderCount,DefenderZ,AltDefenderZ,DestructionXP,Locked,StartingHomeCount,Hidden,AOESpell,AOESpellAlternate,TriggerRadius,ExportNameTriggered,AppearEffect,ForgesSpells,ForgesMiniSpells,IsHeroBarrack,HeroType,IncreasingDamage,DPSLv2,DPSLv3,DPSMulti,Lv2SwitchTime,Lv3SwitchTime,AttackEffectLv2,AttackEffectLv3,TransitionEffectLv2,TransitionEffectLv3,AltNumMultiTargets,PreventsHealing,StrengthWeight,AlternatePickNewTargetDelay,AltBuildResource,SpeedMod,StatusEffectTime,ShockwavePushStrength,ShockwaveArcLength,ShockwaveExpandRadius,TargetingConeAngle,AimRotateStep,PenetratingProjectile,PenetratingRadius,PenetratingExtraRange,TurnSpeed,NeedsAim,TargetGroups,TargetGroupsRadius,HitSpell,HitSpellLevel,ExportNameBeamStart,ExportNameBeamEnd,Damage2,Damage2Radius,Damage2Delay,Damage2Min,Damage2FalloffStart,Damage2FalloffEnd,HitEffect2,WakeUpSpeed,WakeUpSpace,PreAttackEffect,ShareHeroCombatData,BurstCount,BurstDelay,AltBurstCount,AltBurstDelay,DummyProjectileCount,DieDamage,DieDamageRadius,DieDamageEffect,DieDamageDelay,IsRed,VillageType,WallBlockX,WallBlockY,RedMul,GreenMul,BlueMul,RedAdd,GreenAdd,BlueAdd,DefenceTroopCount,DefenceTroopCharacter,DefenceTroopCharacter2,DefenceTroopLevel,AmountCanBeUpgraded,SelfAsAoeCenter,NewTargetAttackDelay,GearUpBuilding,GearUpLevelRequirement,GearUpResource,GearUpCost,GearUpTime,GearUpTID
,,,,,,,town_hall_lvl2,,,,,,,1,,1,,,,,,,,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,1600,21,,,,,,,,,,,,,,,,,,,,,,,,,,,townhall_base,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,town_hall_lvl3,,,,,,,1,,1,,,,,,,,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,1850,22,,,,,,,,,,,,,,,,,,,,,,,,,,,townhall_base,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,town_hall_lvl4,,,,,,,1,,1,,,,,,,,50000,50000,,,,,,,,,,,,,,,,,,,,,,,,2100,23,,,,,,,,,,,,,,,,,,,,,,,,,,,townhall_base,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,town_hall_lvl5,,,,,,,1,,1,,,,,,,,100000,100000,,,,,,,,,,,,,,,,,,,,,,,,2400,24,,,,,,,,,,,,,,,,,,,,,,,,,,,townhall_base,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,town_hall_lvl6,,,,,,,1,,1,,,,,,,,300000,300000,,,,,,,,,,,,,,,,,,,,,,,,2800,25,,,,,,,,,,,,,,,,,,,,,,,,,,,townhall_base,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,town_hall_lvl7,,,,,,,1,,1,,,,,,,,500000,500000,2500,,,,,,,,20,,,,,,,,,,,,,,,3300,26,,,,,,,,,,,,,,,,,,,,,,,,,,,townhall_base,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,town_hall_lvl8,,,,,,,1,,1,,,,,,,,750000,750000,5000,,,,,,,,20,,,,,,,,,,,,,,,3900,27,,,,,,,,,,,,,,,,,,,,,,,,,,,townhall_base,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,town_hall_lvl9,,,,,,,1,,1,,,,,,,,1000000,1000000,10000,,,,,,,,20,,,,,,,,,,,,,,,4600,28,,,,,,,,,,,,,,,,,,,,,,,,,,,townhall_base,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,town_hall_lvl10,,,,,,,1,,1,,,,,,,,1500000,1500000,20000,,,,,,,,20,,,,,,,,,,,,,,,5500,29,,,,,,,,,,,,,,,,,,,,,,,,,,,townhall_lvl10_base,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,town_hall_lvl11,,,,,,,1,,1,,,,,,,,2000000,2000000,20000,,,,,,,,20,,,,,,,,,,,,,,,6800,30,,,,,,,,,,,,,,,,,,,,,,,,,,,townhall_base,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir Pump,TID_BUILDING_ELIXIR_PUMP,TID_ELIXIR_PUMP_INFO,Resource,,,sc/buildings.sc,elixir_pump_lvl1,,elixir_pump_const,,,,,1,Gold,1,1,1,3,3,,elixir_pump_upg,,,,,,,,,,,,,,,,,,Elixir,20000,500,6,,,,,,400,15,,,,,,,,,,,,,,Building Destroyed,,,,,,,,,elixir_destructed_state2,2,2,,elixir_pump_base,,,,,,,,,,,,,,,,Elixir Pump Pickup,Elixir Pump Placing,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_pump_lvl2,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,40000,1000,15,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_pump_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_pump_lvl3,,,,,,,1,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,60000,1500,25,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_pump_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_pump_lvl4,,,,,,,1,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,80000,2500,40,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_pump_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_pump_lvl5,,,,,,,1,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,100000,10000,60,,,,4,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_pump_lvl5_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_pump_lvl6,,,,,,,1,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,130000,20000,100,,,,5,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_pump_lvl5_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_pump_lvl7,,,,,,,1,,1,4,4,,,,,,,,,,,,,,,,,,,,,,,160000,30000,160,,,,6,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_pump_lvl5_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_pump_lvl8,,,,,,,1,,1,4,4,,,,,,,,,,,,,,,,,,,,,,,190000,50000,220,,,,7,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_pump_lvl5_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_pump_lvl9,,,,,,,1,,1,5,5,,,,,,,,,,,,,,,,,,,,,,,220000,75000,300,,,,8,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_pump_lvl9_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_pump_lvl10,,,,,,,1,,1,5,5,,,,,,,,,,,,,,,,,,,,,,,250000,100000,400,,,,9,,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_pump_lvl9_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_pump_lvl11,,,,,,,1,,1,7,7,,,,,,,,,,,,,,,,,,,,,,,300000,150000,500,,,,10,,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_pump_lvl9_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_pump_lvl12,,,,,,,1,,1,8,8,,,,,,,,,,,,,,,,,,,,,,,350000,200000,600,,,,10,,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_pump_lvl9_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elixir Storage,TID_BUILDING_ELIXIR_STORAGE,TID_ELIXIR_STORAGE_INFO,Resource,,,sc/buildings.sc,elixir_storage_level1,,elixir_storage_const,,,,,1,Gold,1,1,1,3,3,,elixir_storage_upg,,,1500,,,,,,,,,,,,,,,,,,,,,,,,400,15,,,,,,,,,,,,,,Elixir Storage Destroyed,,,,,,,,,elixir_destructed_state3,2,2,,elixir_storage_lvl1_base,,,,,,,,,,,,,,,,Elixir Storage Pickup,Elixir Storage Placing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_storage_level2,,,,,,,1,,1,2,2,,,,goldmine_upg,,,3000,,,,,,,,,,,,,,,,,,,,,,,,600,16,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_storage_lvl2_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_storage_level3,,,,,,,1,,1,2,2,,,,goldmine_upg,,,6000,,,,,,,,,,,,,,,,,,,,,,,,800,17,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_storage_lvl3_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_storage_level4,,,,,,,1,,1,3,3,,,,goldmine_upg,,,12000,,,,,,,,,,,,,,,,,,,,,,,,1000,18,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_storage_lvl4_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_storage_level5,,,,,,,1,,1,3,3,,,,goldmine_upg,,,25000,,,,,,,,,,,,,,,,,,,,,,,,1200,19,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_storage_lvl5_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_storage_level6,,,,,,,1,,1,3,3,,,,alliance_castle_upg,,,45000,,,,,,,,,,,,,,,,,,,,,,,,1400,20,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_storage_lvl6_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_storage_level7,,,,,,,1,,1,4,4,,,,alliance_castle_upg,,,100000,,,,,,,,,,,,,,,,,,,,,,,,1600,21,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_storage_lvl7_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_storage_level8,,,,,,,1,,1,4,4,,,,alliance_castle_upg,,,225000,,,,,,,,,,,,,,,,,,,,,,,,1700,22,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_storage_lvl8_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_storage_level9,,,,,,,1,,1,5,5,,,,alliance_castle_upg,,,450000,,,,,,,,,,,,,,,,,,,,,,,,1800,23,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_storage_lvl9_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_storage_level10,,,,,,,1,,1,6,6,,,,alliance_castle_upg,,,850000,,,,,,,,,,,,,,,,,,,,,,,,1900,24,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_storage_lvl10_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_storage_level11,,,,,,,1,,1,7,7,,,,alliance_castle_upg,,,1750000,,,,,,,,,,,,,,,,,,,,,,,,2100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_storage_lvl11_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,elixir_storage_level12,,,,,,,1,,1,11,11,,,,alliance_castle_upg,,,2000000,,,,,,,,,,,,,,,,,,,,,,,,2500,25,,,,,,,,,,,,,,,,,,,,,,,,,,,elixir_storage_lvl11_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Mine,TID_BUILDING_GOLD_MINE,TID_GOLD_MINE_INFO,Resource,,,sc/buildings.sc,goldmine_lvl1,,goldmine_const,,,,,1,Elixir,1,1,1,3,3,,goldmine_upg,,,,,,,,,,,,,,,,,,Gold,20000,500,6,,,,,,400,15,,,,,,,,,,,,,,Building Destroyed,,,,,,,,,rockWood_destructed_tiles3,2,2,,goldmine_base,,,,,,,,,,,,,,,,Gold Mine Pickup,Gold Mine Placing,true,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
